drug,type,effect_or_reason,source_method,raw_text
Lorazepam,contraindication,"Lorazepam, contraindication, ""Acute narrow-angle glaucoma""; Lorazepam, drug, Benzodiazepines",LLM,contraindications lorazepam contraindicated patients known sensitivity benzodiazepines acute narrow angle glaucoma
Ipratropium,contraindication,"Ipratropium bromide nasal solution 0.06% (Nasal Spray), adverse reaction, Hypersensitivity to atropine; Ipratropium bromide nasal solution, 0.06% (Nasal Spray), is_contradicted, in patients with a history of hypersensitivity to atropine or its derivatives, or to any of the other ingredients",LLM,contraindications ipratropium bromide nasal solution 0 06 nasal spray contraindicated patients history hypersensitivity atropine derivatives ingredients
Clindamycin Injection,contraindication,"clindamycin, lincomycin, dilution, clindamycin; clindamycin, dilution, lincomycin; clindamycin, dilution, lincomycin",LLM,contraindications drug contraindicated individuals history hypersensitivity preparations containing clindamycin lincomycin
Betamethasone Dipropionate,contraindication,"Betamethasone dipropionate cream (augmented), contraindication, Hypersensitivity to betamethasone dipropionate, other corticosteroids; Betamethasone dipropionate cream (augmented), activeInhibition, Other Corticosteroids; Betamethasone dipropionate cream (augmented), activeInhibition, Other Corticosteroids",LLM,4 contraindications betamethasone dipropionate cream augmented contraindicated patients hypersensitive betamethasone dipropionate corticosteroids ingredient preparation hypersensitivity component medicine 4
Etodolac,interaction,"Drugs: DrugA, DrugB List of NSAIDs: ACE-inhibitors, Antacids, Cyclosporine, Digoxin, Methotrexate, Etodolac, Glyburide, Phenylbutazone, Warfarin, Warfarin, Concomitant Therapy, Warfarin",LLM,drug interactions ace inhibitors reports suggest nsaids diminish antihypertensive effect ace inhibitors interaction given consideration patients taking nsaids concomitantly ace inhibitors precautions general renal effects antacids concomitant administration antacids apparent effect extent absorption etodolac antacids decrease peak concentration reached 15 20 detectable effect time peak aspirin etodolac administered aspirin protein binding reduced clearance free etodolac altered clinical significance interaction known nsaids concomitant administration etodolac aspirin generally recommended potential increased adverse effects cyclosporine digoxin methotrexate etodolac like nsaids effects renal prostaglandins cause changes elimination drugs leading elevated serum levels cyclosporine digoxin methotrexate increased toxicity nephrotoxicity associated cyclosporine enhanced patients receiving drugs given etodolac nsaid particularly patients altered renal function observed development specific toxicities drugs nsaids reported competitively inhibit methotrexate accumulation rabbit kidney slices indicate enhance toxicity methotrexate caution nsaids administered concomitantly methotrexate diuretics etodolac apparent pharmacokinetic interaction administered furosemide hydrochlorothiazide clinical studies postmarketing observations shown etodolac reduce natriuretic effect furosemide thiazides patients response attributed inhibition renal prostaglandin synthesis concomitant therapy nsaids patient observed closely signs renal failure warnings renal effects assure diuretic efficacy glyburide etodolac apparent pharmacokinetic interaction administered glyburide lithium nsaids produced elevation plasma lithium levels reduction renal lithium clearance mean minimum lithium concentration increased 15 renal clearance decreased approximately 20 effects attributed inhibition renal prostaglandin synthesis nsaid nsaids lithium administered concurrently subjects observed carefully signs lithium toxicity phenylbutazone phenylbutazone causes increase 80 free fraction etodolac vivo studies etodolac clearance changed coadministration phenylbutazone recommended coadministered phenytoin etodolac apparent pharmacokinetic interaction administered phenytoin warfarin effects warfarin nsaids gi bleeding synergistic users drugs risk gi bleeding higher users drug short term pharmacokinetic studies demonstrated concomitant administration warfarin etodolac results reduced protein binding warfarin change clearance free warfarin significant difference pharmacodynamic effect warfarin administered warfarin administered etodolac measured prothrombin time concomitant therapy warfarin etodolac require dosage adjustment drug caution exercised spontaneous reports prolonged prothrombin times bleeding etodolac treated patients receiving concomitant warfarin therapy
Etodolac,contraindication,"Etodolac, contraindication, Coronary artery bypass graft; Etodolac, drugA, drugB; Etodolac, adverse reaction, Asthma; Etodolac, dose, 0.25 milligrams/day; Etodolac, adverse reaction, Pre-existing Asthma; Etodolac, dose, 0.25 milligrams/day; Etodolac, adverse reaction, Pre-existing Asthma",LLM,contraindications etodolac contraindicated patients known hypersensitivity etodolac etodolac given patients experienced asthma urticaria allergic type reactions taking aspirin nsaids severe rarely fatal anaphylactic like reactions nsaids reported patients warnings anaphylactoid reactions precautions pre existing asthma etodolac tablets contraindicated setting coronary artery bypass graft cabg surgery warnings
Calcium Acetate,interaction,"Calcium acetate, drugInteger, DrugAnalyse, Ciprofloxacin; Calcium acetate, drugInteger, DrugAnalyse; Ciprofloxacin, bioavailability, 7.5; Ciprofloxacin, dose, 2.7g; Calcium acetate, drugInteger, DrugAnalyse, DrugAnalyse",LLM,7 drug interactions drug interaction calcium acetate characterized potential calcium bind drugs anionic functions e g carboxyl hydroxyl groups calcium acetate decrease bioavailability tetracyclines fluoroquinolones mechanism empirical data avoiding drug interactions calcium acetate concomitant drugs administering oral medication calcium acetate reduction bioavailability medication clinically significant effect safety efficacy administer drug hour hours calcium acetate monitor blood levels concomitant drugs narrow therapeutic range patients taking anti arrhythmic medications control arrhythmias anti seizure medications control seizure disorders excluded clinical trials forms calcium acetate calcium acetate decrease bioavailability tetracyclines fluoroquinolones 7 clinically significant drug interactions expected administer drug hour hours calcium acetate consider monitoring blood levels drug 7 7 1 ciprofloxacin study 15 healthy subjects co administered single dose 4 calcium acetate tablets approximately 2 7g decreased bioavailability ciprofloxacin approximately 50
Calcium Acetate,contraindication,"Hypercalcemia, contraindications, Patients",LLM,4 contraindications patients hypercalcemia hypercalcemia 4
ENTRESTO,interaction,"ENTRESTO, pharmacokinetics, toxicity, lithium toxicity, toxicity, valsartan; Potassium-sparing diuretics, pharmacokinetics, toxicity, lithium toxicity; Potassium-sparing diuretics, pharmacokinetics, toxicity, lithium toxicity; Potassium-sparing diuretics, pharmacokinetics, toxicity, lithium toxicity; Potassium-sparing diuretics, pharmacokinetics, toxicity, lithium toxicity, lithium toxicity, lithium toxicity, lithium toxicity, lithium toxicity, lithium toxicity, lithium toxicity, lithium toxicity, lithium toxicity, lithium toxicity, lithium toxicity, lithium toxicity, lithium toxicity, lithium toxicity, lithium toxicity, lithium toxicity, lithium toxicity, lithium toxicity, lithium toxicity, lithium toxicity, lithium",LLM,7 drug interactions avoid concomitant use aliskiren patients estimated glomerular filtration rate egfr 60 7 1 potassium sparing diuretics lead increased serum potassium 7 2 nonsteroidal anti inflammatory drugs nsaids lead increased risk renal impairment 7 3 lithium increased risk lithium toxicity 7 4 7 1 dual blockade renin angiotensin aldosterone system concomitant use entresto ace inhibitor contraindicated increased risk angioedema contraindications 4 avoid use entresto arb entresto contains angiotensin ii receptor blocker valsartan concomitant use entresto aliskiren contraindicated patients diabetes contraindications 4 avoid use aliskiren patients renal impairment egfr 60 ml min 1 73 m 2 7 2 potassium sparing diuretics drugs block angiotensin ii effects concomitant use potassium sparing diuretics e g spironolactone triamterene amiloride potassium supplements salt substitutes containing potassium lead increases serum potassium warnings precautions 5 5 7 3 nonsteroidal anti inflammatory drugs nsaids including selective cyclooxygenase 2 inhibitors cox 2 inhibitors patients elderly volume depleted including diuretic therapy compromised renal function concomitant use nsaids including cox 2 inhibitors entresto result worsening renal function including possible acute renal failure effects usually reversible monitor renal function periodically 7 4 lithium increases serum lithium concentrations lithium toxicity reported concomitant administration lithium angiotensin ii receptor antagonists monitor serum lithium levels concomitant use entresto
ENTRESTO,contraindication,"ENTRESTO, ACE inhibitor, ALISKIRIN, CYP3A3D; ENTRESTO, ACE inhibitor, CYP3A3D; ENTRESTO, ACE inhibitor, CYP3A3D; ENTRESTO, ACE inhibitor, CYP3A3D; ENTRESTO, ACE inhibitor, CYP3A3D; ENTRESTO, ACE inhibitor, CYP3A3D; ENTRESTO, ACE inhibitor, CYP3A3D; ENTRESTO, ACE inhibitor, CYP3A3D; ENTRESTO, ACE inhibitor, CYP3A3D; ENTRESTO, ACE inhibitor, CYP3A3D; ENTRESTO, ACE inhibitor, CYP3A3D; ENTRESTO, ACE",LLM,4 contraindications entresto contraindicated patients hypersensitivity component patients history angioedema related previous ace inhibitor arb therapy warnings precautions 5 2 concomitant use ace inhibitors administer 36 hours switching ace inhibitor drug interactions 7 1 concomitant use aliskiren patients diabetes drug interactions 7 1 hypersensitivity component 4 history angioedema related previous acei arb therapy 4 concomitant use ace inhibitors 4 7 1 concomitant use aliskiren patients diabetes 4 7 1
Limitations,interaction,"Drugs: DrugA, DrugB, DrugCName, DrugAnalgesics; Drugs: DrugA, DrugB, DrugCName, DrugAnalgesics; DrugA, DrugB, DrugAnalgesics; DrugA, DrugB, DrugAnalgesics; DrugA, DrugB, DrugAnalgesics; DrugA, DrugB, DrugAnalgesics; DrugA, DrugB, DrugAnalgesics; DrugA, DrugB, DrugAnalgesics; DrugA, DrugB, DrugAnalgesics; DrugA, DrugB, DrugAnalgesics; DrugA, DrugB, DrugAnalgesics; DrugA, DrugB, DrugAnalgesics; DrugA, DrugB, DrugAnalgesics; DrugA, Drug",LLM,7 drug interactions mixed agonist antagonist partial agonist opioid analgesics avoid use oxycontin reduce analgesic effect oxycontin precipitate withdrawal symptoms 7 4 7 1 cns depressants concomitant use oxycontin cns depressants including sedatives hypnotics tranquilizers general anesthetics phenothiazines opioids alcohol increase risk respiratory depression profound sedation coma death monitor patients receiving cns depressants oxycontin signs respiratory depression sedation hypotension combined therapy medications considered dose agents reduced dosage administration 2 2 warnings precautions 5 4 7 2 muscle relaxants oxycodone enhance neuromuscular blocking action true skeletal muscle relaxants produce increased degree respiratory depression monitor patients receiving muscle relaxants oxycontin signs respiratory depression greater expected 7 3 drugs affecting cytochrome p450 isoenzymes inhibitors cyp3a4 2d6 cyp3a4 isoenzyme plays major role metabolism oxycodone drugs inhibit cyp3a4 activity cause decreased clearance oxycodone lead increase oxycodone plasma concentrations result increased prolonged opioid effects effects pronounced concomitant use cyp2d6 3a4 inhibitors co administration oxycontin necessary monitor patients respiratory depression sedation frequent intervals consider dose adjustments stable drug effects achieved clinical pharmacology 12 3 inducers cyp3a4 cyp450 3a4 inducers induce metabolism oxycodone cause increased clearance drug lead decrease oxycodone plasma concentrations lack efficacy possibly development abstinence syndrome patient developed physical dependence oxycodone co administration oxycontin necessary monitor signs opioid withdrawal consider dose adjustments stable drug effects achieved stopping treatment cyp3a4 inducer effects inducer decline oxycodone plasma concentration increase increase prolong therapeutic adverse effects cause respiratory depression clinical pharmacology 12 3 7 4 mixed agonist antagonist partial agonist opioid analgesics mixed agonist antagonist e pentazocine nalbuphine butorphanol partial agonist buprenorphine analgesics reduce analgesic effect oxycodone precipitate withdrawal symptoms avoid use mixed agonist antagonist partial agonist analgesics patients receiving oxycontin 7 5 diuretics opioids reduce efficacy diuretics inducing release antidiuretic hormone opioids lead acute retention urine causing spasm sphincter bladder particularly men enlarged prostates 7 6 anticholinergics anticholinergics medications anticholinergic activity concurrently opioid analgesics result increased risk urinary retention severe constipation lead paralytic ileus monitor patients signs urinary retention reduced gastric motility oxycontin concurrently anticholinergic drugs
Limitations,contraindication,"OXYCONTIN, CYP3A, CYP4A, CYP5A, CYP6A, CYP7A, CYP8A, CYP9A, CYP8B, CYP8A, CYP8B, CYP8A, CYP8B, CYP8A, CYP8B, CYP8A, CYP8B, CYP8A, CYP8B, CYP8A, CYP8B, CYP8A, CYP8B, CYP8A, CYP8B, CYP8A, CYP8B, CYP8A, CYP8A, CYP8B, CYP8A, CYP8A, CYP8B, CY",LLM,4 contraindications oxycontin contraindicated patients significant respiratory depression acute severe bronchial asthma unmonitored setting absence resuscitative equipment known suspected paralytic ileus gastrointestinal obstruction hypersensitivity e g anaphylaxis oxycodone adverse reactions 6 2 significant respiratory depression 4 acute severe bronchial asthma 4 known suspected paralytic ileus gi obstruction 4 hypersensitivity oxycodone 4
